"Name.x","Beer_ID","ABV","IBU","Brew_ID","Style","Ounces","Name.y","City","State"
"Gordon Imperial Red (2010)",806,0.087,85,167,"American Double / Imperial IPA",12,"Oskar Blues Brewery","Longmont"," CO"
"G'KNIGHT (16 oz.)",726,0.087,85,167,"American Double / Imperial IPA",16,"Oskar Blues Brewery","Longmont"," CO"
"Deviant Dale's IPA",565,0.08,90,167,"American Double / Imperial IPA",16,"Oskar Blues Brewery","Longmont"," CO"
"One Hit Wonder",391,0.09,60,167,"American Double / Imperial IPA",12,"Oskar Blues Brewery","Longmont"," CO"
"G'KNIGHT (12 oz.)",388,0.087,85,167,"American Double / Imperial IPA",12,"Oskar Blues Brewery","Longmont"," CO"
"GUBNA Imperial IPA",6,0.099,100,167,"American Double / Imperial IPA",12,"Oskar Blues Brewery","Longmont"," CO"
"Gordon Ale (2009)",4,0.087,85,167,"American Double / Imperial IPA",12,"Oskar Blues Brewery","Longmont"," CO"
"Gordon (2005)",805,0.092,85,504,"American Double / Imperial IPA",12,"Oskar Blues Brewery","Lyons"," CO"
"Gordon Beer (2006)",733,0.087,60,504,"American Double / Imperial IPA",12,"Oskar Blues Brewery","Lyons"," CO"
"G'KNIGHT",1533,0.087,85,390,"American Double / Imperial IPA",12,"Oskar Blues Brewery (North Carol...","Brevard"," NC"
"Deviant Dale's IPA",1328,0.08,85,390,"American Double / Imperial IPA",16,"Oskar Blues Brewery (North Carol...","Brevard"," NC"
"Elevation Triple India Pale Ale",1006,0.099,100,111,"American Double / Imperial IPA",12,"Renegade Brewing Company","Denver"," CO"
"Count Hopula (Vault Series)",2063,0.091,99,31,"American Double / Imperial IPA",16,"SanTan Brewing Company","Chandler"," AZ"
"Giant DIPA",2002,0.089,88,253,"American Double / Imperial IPA",16,"Santa Cruz Mountain Brewing","Santa Cruz"," CA"
"Hi-Res",1696,0.099,111,47,"American Double / Imperial IPA",12,"Sixpoint Craft Ales","Brooklyn"," NY"
"Resin",628,0.091,103,47,"American Double / Imperial IPA",12,"Sixpoint Craft Ales","Brooklyn"," NY"
"Odyssey Imperial IPA",894,0.084,90,372,"American Double / Imperial IPA",12,"Sly Fox Brewing Company","Pottstown"," PA"
"Double Dagger Imperial IPA",1655,0.092,90,310,"American Double / Imperial IPA",12,"Sockeye Brewing Company","Boise"," ID"
"Hopnoxious Imperial IPA",1447,0.079,90,310,"American Double / Imperial IPA",12,"Sockeye Brewing Company","Boise"," ID"
"Red Cockaded Ale",1728,0.085,110,119,"American Double / Imperial IPA",12,"Southern Star Brewing Company","Conroe"," TX"
"Valkyrie Double IPA",1497,0.092,100,119,"American Double / Imperial IPA",12,"Southern Star Brewing Company","Conroe"," TX"
"Red Cockaded Ale (2013)",1011,0.085,110,119,"American Double / Imperial IPA",12,"Southern Star Brewing Company","Conroe"," TX"
"PRO-AM (2012) (2012)",853,0.099,100,119,"American Double / Imperial IPA",12,"Southern Star Brewing Company","Conroe"," TX"
"Bitter Biker Double IPA",2206,0.096,90,176,"American Double / Imperial IPA",16,"Spiteful Brewing Company","Chicago"," IL"
"Working for the Weekend",2135,0.079,90,176,"American Double / Imperial IPA",16,"Spiteful Brewing Company","Chicago"," IL"
"Bitter Biker Double IPA",1821,0.096,90,176,"American Double / Imperial IPA",12,"Spiteful Brewing Company","Chicago"," IL"
"Unchained #18 Hop Silo",2415,0.083,100,59,"American Double / Imperial IPA",16,"Summit Brewing Company","St. Paul"," MN"
"Isis",651,0.091,91,26,"American Double / Imperial IPA",16,"Sun King Brewing Company","Indianapolis"," IN"
"Abrasive Ale",15,0.097,120,62,"American Double / Imperial IPA",16,"Surly Brewing Company","Brooklyn Center"," MN"
"Dodgy Knight Imperial IPA",1229,0.08,95,450,"American Double / Imperial IPA",12,"TailGate Beer","San Diego"," CA"
"Oasis (2010)",104,0.072,93,46,"American Double / Imperial IPA",16,"Tallgrass Brewing Company","Manhattan"," KS"
"The Crusher",1915,0.096,90,273,"American Double / Imperial IPA",16,"The Alchemist","Waterbury"," VT"
"Heady Topper",1111,0.08,120,273,"American Double / Imperial IPA",16,"The Alchemist","Waterbury"," VT"
"Heady Topper",379,0.08,120,273,"American Double / Imperial IPA",16,"The Alchemist","Waterbury"," VT"
"Double Trunk",1561,0.099,101,34,"American Double / Imperial IPA",16,"The Dudes' Brewing Company","Torrance"," CA"
"Overlord Imperial IPA",1449,0.085,115,18,"American Double / Imperial IPA",16,"Tin Man Brewing Company","Evansville"," IN"
"Road 2 Ruin Double IPA",1171,0.072,90,436,"American Double / Imperial IPA",12,"Two Roads Brewing Company","Stratford"," CT"
"Double Duckpin",2507,0.085,90,72,"American Double / Imperial IPA",12,"Union Craft Brewing","Baltimore"," MD"
"Upslope Imperial India Pale Ale",1315,0.099,90,52,"American Double / Imperial IPA",19.2,"Upslope Brewing Company","Boulder"," CO"
"Squatters Hop Rising Double IPA",1825,0.09,75,303,"American Double / Imperial IPA",12,"Utah Brewers Cooperative","Salt Lake City"," UT"
"Squatters Hop Rising Double IPA (2014)",1680,0.09,75,303,"American Double / Imperial IPA",12,"Utah Brewers Cooperative","Salt Lake City"," UT"
"Larry Imperial IPA",1418,0.085,85,296,"American Double / Imperial IPA",12,"Wachusett Brewing Company","Westminster"," MA"
"Hop Slayer Double IPA",1619,0.082,100,362,"American Double / Imperial IPA",12,"Wild Onion Brewing Company","Lake Barrington"," IL"
"Hop Slayer Double IPA (2011)",740,0.082,100,362,"American Double / Imperial IPA",12,"Wild Onion Brewing Company","Lake Barrington"," IL"
"Hop Slayer Double IPA (2011)",430,0.082,100,362,"American Double / Imperial IPA",12,"Wild Onion Brewing Company","Lake Barrington"," IL"
"Lights Out Vanilla Cream Extra Stout",1513,0.077,30,200,"American Double / Imperial IPA",12,"Worthy Brewing Company","Bend"," OR"
"Guest Lager",1448,0.08,85,328,"American Double / Imperial Pilsner",16,"Half Acre Beer Company","Chicago"," IL"
"Pilzilla",1488,0.075,85,323,"American Double / Imperial Pilsner",12,"Voodoo Brewery","Meadville"," PA"
"Quakertown Stout",1333,0.092,50,427,"American Double / Imperial Stout",12,"Armadillo Ale Works","Denton"," TX"
"Tart Side of the Barrel",2598,0.098,51,11,"American Double / Imperial Stout",16,"Brewery Vivant","Grand Rapids"," MI"
"Plow Horse Belgian Style Imperial Stout",1031,0.095,51,11,"American Double / Imperial Stout",16,"Brewery Vivant","Grand Rapids"," MI"
"Blackbeard",2657,0.093,51,6,"American Double / Imperial Stout",12,"COAST Brewing Company","Charleston"," SC"
"Cavatica Stout",552,0.088,51,207,"American Double / Imperial Stout",16,"Fort George Brewery","Astoria"," OR"
"Ex Umbris Rye Imperial Stout",904,0.099,85,424,"American Double / Imperial Stout",16,"Hess Brewing Company","San Diego"," CA"
"Barrel Aged Seven Devils Imperial Stout",1425,0.099,51,310,"American Double / Imperial Stout",12,"Sockeye Brewing Company","Boise"," ID"
"Beelzebub",1914,0.08,51,273,"American Double / Imperial Stout",16,"The Alchemist","Waterbury"," VT"
"Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout",2562,0.099,51,52,"American Double / Imperial Stout",19.2,"Upslope Brewing Company","Boulder"," CO"
"Excess IPL",2671,0.072,80,3,"American India Pale Lager",16,"Jack's Abby Craft Lagers","Framingham"," MA"
"Hoponius Union",2670,0.067,65,3,"American India Pale Lager",12,"Jack's Abby Craft Lagers","Framingham"," MA"
"Calyptra",2669,0.049,45,3,"American India Pale Lager",12,"Jack's Abby Craft Lagers","Framingham"," MA"
"Rise of the Phoenix",2264,0.071,69,178,"American IPA",12,"18th Street Brewery","Gary"," IN"
"Sex and Candy",2262,0.075,69,178,"American IPA",12,"18th Street Brewery","Gary"," IN"
"21st Amendment IPA (2006)",799,0.07,70,369,"American IPA",12,"21st Amendment Brewery","San Francisco"," CA"
"Brew Free! or Die IPA (2008)",797,0.07,70,369,"American IPA",12,"21st Amendment Brewery","San Francisco"," CA"
"Brew Free! or Die IPA (2009)",796,0.07,70,369,"American IPA",12,"21st Amendment Brewery","San Francisco"," CA"
"Brew Free! or Die IPA",10,0.07,65,369,"American IPA",12,"21st Amendment Brewery","San Francisco"," CA"
"Bimini Twist",2519,0.07,82,68,"American IPA",12,"3 Daughters Brewing","St Petersburg"," FL"
"Divided Sky",2286,0.065,69,61,"American IPA",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Resurrected",2285,0.065,69,61,"American IPA",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Galaxyfest",2603,0.065,69,28,"American IPA",16,"450 North Brewing Company","Columbus"," IN"
"Citrafest",2602,0.05,45,28,"American IPA",16,"450 North Brewing Company","Columbus"," IN"
"Scarecrow",2219,0.069,65,28,"American IPA",16,"450 North Brewing Company","Columbus"," IN"
"Rude Parrot IPA",972,0.059,75,482,"American IPA",16,"7 Seas Brewing Company","Gig Harbor"," WA"
"Jockamo IPA",516,0.065,52,534,"American IPA",12,"Abita Brewing Company","Abita Springs"," LA"
"Citra Ass Down",2540,0.082,68,63,"American IPA",16,"Against The Grain Brewery","Louisville"," KY"
"Pile of Face",2675,0.06,65,2,"American IPA",16,"Against the Grain Brewery","Louisville"," KY"
"Kentucky IPA",1149,0.065,69,389,"American IPA",16,"Alltech's Lexington Brewing Company","Lexington"," KY"
"Damnesia",1473,0.062,69,402,"American IPA",16,"Amnesia Brewing Company","Washougal"," WA"
"Desolation IPA",837,0.062,43,402,"American IPA",16,"Amnesia Brewing Company","Washougal"," WA"
"Liberty Ale",2592,0.059,69,36,"American IPA",12,"Anchor Brewing Company","San Francisco"," CA"
"IPA",2578,0.065,69,36,"American IPA",12,"Anchor Brewing Company","San Francisco"," CA"
"Hop Ottin' IPA",1327,0.07,80,172,"American IPA",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Hop Ottin' IPA (2011)",367,0.07,80,172,"American IPA",12,"Anderson Valley Brewing Company","Boonville"," CA"
"Charlie's Rye IPA",2337,0.06,69,147,"American IPA",16,"Angry Minnow","Hayward"," WI"
"Long Leaf",2511,0.071,75,70,"American IPA",16,"Appalachian Mountain Brewery","Boone"," NC"
"Green Bullet Organic India Pale Ale",1322,0.07,45,430,"American IPA",16,"Asher Brewing Company","Boulder"," CO"
"Shiva IPA",428,0.06,69,529,"American IPA",12,"Asheville Brewing Company","Asheville"," NC"
"Aslan IPA",1639,0.077,69,354,"American IPA",16,"Aslan Brewing Company","Bellingham"," WA"
"Independence Pass Ale",596,0.07,67,524,"American IPA",12,"Aspen Brewing Company","Aspen"," CO"
"Grand Circus IPA",528,0.05,62,73,"American IPA",12,"Atwater Brewery","Detroit"," MI"
"Fire Eagle IPA",343,0.062,69,414,"American IPA",12,"Austin Beerworks","Austin"," TX"
"Avery India Pale Ale",107,0.063,69,38,"American IPA",12,"Avery Brewing Company","Boulder"," CO"
"Hog Wild India Pale Ale",705,0.067,69,361,"American IPA",12,"Aviator Brewing Company","Fuquay-Varina"," NC"
"Misty Mountain IPA",1132,0.07,69,236,"American IPA",12,"Back East Brewing Company","Bloomfield"," CT"
"Topcutter India Pale Ale",966,0.068,70,484,"American IPA",12,"Bale Breaker Brewing Company","Yakima"," WA"
"Grapefruit Sculpin",2593,0.07,69,35,"American IPA",12,"Ballast Point Brewing Company","San Diego"," CA"
"Even Keel",2105,0.038,40,35,"American IPA",12,"Ballast Point Brewing Company","San Diego"," CA"
"Big Eye India Pale Ale",1400,0.07,75,35,"American IPA",12,"Ballast Point Brewing Company","San Diego"," CA"
"Sculpin IPA",1018,0.07,70,35,"American IPA",12,"Ballast Point Brewing Company","San Diego"," CA"
"Thai.p.a",2618,0.07,46,21,"American IPA",16,"Bare Hands Brewery","Granger"," IN"
"Barrio Blanco",2005,0.06,60,252,"American IPA",12,"Barrio Brewing Company","Tucson"," AZ"
"Ultra Gnar Gnar IPA",2323,0.067,60,117,"American IPA",12,"Base Camp Brewing Co.","Portland"," OR"
"Sky-Five",1965,0.067,70,259,"American IPA",12,"Bauhaus Brew Labs","Minneapolis"," MN"
"Stowaway IPA",182,0.069,69,293,"American IPA",12,"Baxter Brewing Company","Lewiston"," ME"
"Back Bay IPA",2420,0.068,85,104,"American IPA",12,"Beer Works Brewery","Lowell"," MA"
"Two Hearted",1988,0.07,69,77,"American IPA",16,"Bell's Brewery","Kalamazoo"," MI"
"Harness the Winter",2410,0.072,87,76,"American IPA",12,"Bent Paddle Brewing Company","Duluth"," MN"
"Bent Hop Golden IPA",1901,0.062,68,76,"American IPA",12,"Bent Paddle Brewing Company","Duluth"," MN"
"La Frontera Premium IPA",1158,0.078,69,464,"American IPA",12,"Big Bend Brewing Company","Alpine"," TX"
"Big Elm IPA",1003,0.07,69,478,"American IPA",12,"Big Elm Brewing","Sheffield"," MA"
"Ryecoe",2469,0.062,69,9,"American IPA",16,"Big Lake Brewing","Holland"," MI"
"Galaxy IPA",2585,0.075,60,41,"American IPA",16,"Big Muddy Brewing","Murphysboro"," IL"
"House Brand IPA",632,0.06,55,520,"American IPA",12,"Big River Brewing Company","Chattanooga"," TN"
"Big Sky IPA",1714,0.062,65,337,"American IPA",12,"Big Sky Brewing Company","Missoula"," MT"
"Big Sky IPA (2012)",579,0.062,65,337,"American IPA",12,"Big Sky Brewing Company","Missoula"," MT"
"Arcus IPA",2096,0.069,81,222,"American IPA",12,"Big Storm Brewing Company","Odessa"," FL"
"Bark Bite IPA",985,0.066,50,445,"American IPA",16,"Big Wood Brewery","Vadnais Heights"," MN"
"Blackmarket Rye IPA",1898,0.075,35,113,"American IPA",12,"Black Market Brewing Company","Temecula"," CA"
"Nordskye ",2634,0.048,47,13,"American IPA",12,"Blackrocks Brewery","Marquette"," MI"
"51K IPA",1481,0.07,51,13,"American IPA",12,"Blackrocks Brewery","Marquette"," MI"
"Mad Manatee IPA",1569,0.065,69,379,"American IPA",12,"Bold City Brewery","Jacksonville"," FL"
"Longhop IPA",1891,0.042,30,282,"American IPA",16,"Bolero Snort Brewery","Ridgefield Park"," NJ"
"Firestarter India Pale Ale",2422,0.066,72,108,"American IPA",12,"Bonfire Brewing Company","Eagle"," CO"
"Pink-I Raspberry IPA",1517,0.068,69,108,"American IPA",16,"Bonfire Brewing Company","Eagle"," CO"
"Firestarter India Pale Ale",633,0.066,72,108,"American IPA",16,"Bonfire Brewing Company","Eagle"," CO"
"Rebel IPA",1629,0.065,45,301,"American IPA",16,"Boston Beer Company","Boston"," MA"
"Heavy Lifting",2596,0.062,80,32,"American IPA",12,"Boulevard Brewing Company","Kansas City"," MO"
"Mango Ginger",2299,0.058,69,168,"American IPA",12,"Boxcar Brewing Company","West Chester"," PA"
"Bozone HopZone IPA",1289,0.07,80,220,"American IPA",12,"Bozeman Brewing Company","Bozeman"," MT"
"Lucky U IPA",193,0.062,68,392,"American IPA",12,"Breckenridge Brewery","Denver"," CO"
"Last Stop IPA",1801,0.072,60,309,"American IPA",12,"Brew Bus Brewing","Tampa"," FL"
"Linnaeus Mango IPA",2597,0.06,69,11,"American IPA",16,"Brewery Vivant","Grand Rapids"," MI"
"Fairweather IPA",648,0.061,64,494,"American IPA",12,"Broken Tooth Brewing Company","Anchorage"," AK"
"3:33 Black IPA",2158,0.072,86,25,"American IPA",16,"Burn 'Em Brewing","Michigan City"," IN"
"MCA",2072,0.068,69,25,"American IPA",16,"Burn 'Em Brewing","Michigan City"," IN"
"Snapperhead IPA",51,0.068,69,557,"American IPA",12,"Butternuts Beer and Ale","Garrattsville"," NY"
"HopArt",2653,0.077,69,6,"American IPA",16,"COAST Brewing Company","Charleston"," SC"
"F5 IPA",1442,0.068,100,183,"American IPA",16,"COOP Ale Works","Oklahoma City"," OK"
"Hopportunity Knocks IPA",2315,0.068,100,156,"American IPA",12,"Caldera Brewing Company","Ashland"," OR"
"Caldera IPA (2009)",793,0.061,94,156,"American IPA",12,"Caldera Brewing Company","Ashland"," OR"
"Caldera IPA (2007)",792,0.061,94,156,"American IPA",12,"Caldera Brewing Company","Ashland"," OR"
"Caldera IPA",36,0.061,94,156,"American IPA",12,"Caldera Brewing Company","Ashland"," OR"
"Flower Child (2014)",2256,0.065,69,179,"American IPA",12,"Cambridge Brewing Company","Cambridge"," MA"
"Fisherman's IPA",2066,0.055,64,231,"American IPA",12,"Cape Ann Brewing Company","Gloucester"," MA"
"Ghost Ship White IPA",1954,0.056,55,193,"American IPA",12,"Capital Brewery","Middleton"," WI"
"Mutiny IPA",1177,0.062,70,193,"American IPA",12,"Capital Brewery","Middleton"," WI"
"Boat Beer",1439,0.042,35,223,"American IPA",12,"Carton Brewing Company","Atlantic Highlands"," NJ"
"Firewater India Pale Ale",1743,0.052,69,332,"American IPA",12,"Catawba Brewing Company","Morganton"," NC"
"Firewater India Pale Ale",507,0.052,69,332,"American IPA",12,"Catawba Brewing Company","Morganton"," NC"
"Dankosaurus",2052,0.068,70,30,"American IPA",16,"Cedar Creek Brewery","Seven Points"," TX"
"Lucky Day IPA",1648,0.072,85,351,"American IPA",16,"Central Coast Brewing Company","San Luis Obispo"," CA"
"Missile IPA",1933,0.07,65,237,"American IPA",12,"Champion Brewing Company","Charlottesville"," VA"
"IPA #11",2380,0.057,58,122,"American IPA",16,"Cheboygan Brewing Company","Cheboygan"," MI"
"Operation Homefront",2014,0.062,65,142,"American IPA",12,"Cigar City Brewing Company","Tampa"," FL"
"Happening Now",2009,0.045,69,142,"American IPA",12,"Cigar City Brewing Company","Tampa"," FL"
"Hopped on the High Seas (Hop #529)",1726,0.07,60,142,"American IPA",12,"Cigar City Brewing Company","Tampa"," FL"
"Hopped on the High Seas (Calypso)",1725,0.07,60,142,"American IPA",12,"Cigar City Brewing Company","Tampa"," FL"
"Dry-Hopped On The High Seas Caribbean-Style IPA",1694,0.07,60,142,"American IPA",12,"Cigar City Brewing Company","Tampa"," FL"
"Hopped on the High Seas (Citra)",1693,0.07,60,142,"American IPA",12,"Cigar City Brewing Company","Tampa"," FL"
"Hopped on the High Seas (Ahtanum)",1692,0.07,60,142,"American IPA",12,"Cigar City Brewing Company","Tampa"," FL"
"Humidor Series India Pale Ale",1142,0.075,70,142,"American IPA",12,"Cigar City Brewing Company","Tampa"," FL"
"Jai Alai IPA Aged on White Oak",1141,0.075,70,142,"American IPA",12,"Cigar City Brewing Company","Tampa"," FL"
"Jai Alai IPA",546,0.075,70,142,"American IPA",12,"Cigar City Brewing Company","Tampa"," FL"
"Indie Pale Ale",656,0.065,69,146,"American IPA",12,"Cisco Brewers","Nantucket"," MA"
"Jacaranada Rye IPA",1772,0.067,60,321,"American IPA",16,"Claremont Craft Ales","Claremont"," CA"
"Newport Storm IPA",2437,0.065,75,102,"American IPA",12,"Coastal Extreme Brewing Company","Newport"," RI"
"Des Moines IPA",970,0.068,75,483,"American IPA",16,"Confluence Brewing Company","Des Moines"," IA"
"Tropicalia",2029,0.065,65,248,"American IPA",12,"Creature Comforts","Athens"," GA"
"11th Hour IPA",271,0.06,69,213,"American IPA",12,"Crow Peak Brewing Company","Spearfish"," SD"
"Half Court IPA",1786,0.063,69,316,"American IPA",16,"Cutters Brewing Company","Avon"," IN"
"The Corruption",186,0.065,80,228,"American IPA",12,"DC Brau Brewing Company","Washington"," DC"
"Dank IPA",1224,0.065,69,452,"American IPA",16,"Dad & Dude's Breweria","Aurora"," CO"
"Dank IPA (2012)",964,0.065,69,452,"American IPA",16,"Dad & Dude's Breweria","Aurora"," CO"
"Lift Off IPA",1623,0.072,69,359,"American IPA",16,"Daredevil Brewing Company","Shelbyville"," IN"
"Deep Ellum IPA",943,0.07,70,128,"American IPA",12,"Deep Ellum Brewing Company","Dallas"," TX"
"Thrasher Session India Pale Ale",1886,0.045,44,284,"American IPA",12,"Defiance Brewing Company","Hays"," KS"
"Twister Creek India Pale Ale",947,0.065,71,454,"American IPA",12,"Denali Brewing Company","Talkeetna"," AK"
"Incredible Pedal IPA",1944,0.07,69,264,"American IPA",12,"Denver Beer Company","Denver"," CO"
"Vertex IPA",2025,0.063,76,58,"American IPA",12,"Destihl Brewery","Bloomington"," IL"
"California Sunshine Rye IPA",730,0.071,85,492,"American IPA",16,"Devil's Canyon Brewery","Belmont"," CA"
"Filthy Hoppin' IPA",1795,0.065,72,312,"American IPA",16,"Dirty Bucket Brewing Company","Woodinville"," WA"
"Hop Abomination",881,0.066,100,497,"American IPA",12,"Dry Dock Brewing Company","Aurora"," CO"
"Category 3 IPA",1685,0.061,64,341,"American IPA",12,"Due South Brewing Company","Boynton Beach"," FL"
"Crank Yanker IPA",1382,0.078,74,370,"American IPA",16,"Eddyline Brewery & Restaurant","Buena Vista"," CO"
"Crank Yanker IPA (2011)",395,0.078,74,370,"American IPA",16,"Eddyline Brewery & Restaurant","Buena Vista"," CO"
"Escape to Colorado",2003,0.062,69,82,"American IPA",12,"Epic Brewing","Denver"," CO"
"Little Sister India Style Session Ale",2292,0.043,60,171,"American IPA",12,"Everybody's Brewing","White Salmon"," WA"
"Country Boy IPA",1504,0.062,80,171,"American IPA",12,"Everybody's Brewing","White Salmon"," WA"
"Bikini Beer",1286,0.027,69,174,"American IPA",12,"Evil Twin Brewing","Brooklyn"," NY"
"Wood Chipper India Pale Ale",1434,0.067,70,336,"American IPA",12,"Fargo Brewing Company","Fargo"," ND"
"Hop Stalker Fresh Hop IPA",2088,0.07,80,225,"American IPA",16,"Fat Head's Brewery","Middleburg Heights"," OH"
"Moirai India Pale Ale",1451,0.07,70,406,"American IPA",16,"Fate Brewing Company","Boulder"," CO"
"Quaff India Style Session Ale",1022,0.051,69,202,"American IPA",16,"Fearless Brewing Company","Estacada"," OR"
"Threadless IPA",481,0.075,69,257,"American IPA",16,"Finch's Beer Company","Chicago"," IL"
"Easy Jack",2569,0.045,47,49,"American IPA",12,"Firestone Walker Brewing Company","Paso Robles"," CA"
"Union Jack",2463,0.075,75,49,"American IPA",12,"Firestone Walker Brewing Company","Paso Robles"," CA"
"Half Cycle IPA",1610,0.06,104,17,"American IPA",16,"Flat 12 Bierwerks","Indianapolis"," IN"
"Inclined Plane Ale",520,0.042,69,533,"American IPA",12,"Flat Rock Brewing Company","Smithton"," PA"
"Snake Dog IPA",608,0.071,60,522,"American IPA",12,"Flying Dog Brewery","Frederick"," MD"
"Flying Mouse 4",2566,0.07,70,51,"American IPA",12,"Flying Mouse Brewery","Troutville"," VA"
"Backyahd IPA",983,0.06,69,280,"American IPA",12,"Foolproof Brewing Company","Pawtucket"," RI"
"1916 Shore Shiver",2110,0.069,65,218,"American IPA",12,"Forgotten Boardwalk","Cherry Hill"," NJ"
"The Optimist",2171,0.062,69,207,"American IPA",12,"Fort George Brewery","Astoria"," OR"
"Suicide Squeeze IPA",1911,0.045,69,207,"American IPA",16,"Fort George Brewery","Astoria"," OR"
"Java the Hop",1803,0.065,69,207,"American IPA",16,"Fort George Brewery","Astoria"," OR"
"3-Way IPA (2013)",1515,0.067,69,207,"American IPA",16,"Fort George Brewery","Astoria"," OR"
"Vortex IPA",318,0.074,97,207,"American IPA",16,"Fort George Brewery","Astoria"," OR"
"Villager",2658,0.063,42,5,"American IPA",12,"Fort Point Beer Company","San Francisco"," CA"
"Centennial IPA",1565,0.072,65,16,"American IPA",12,"Founders Brewing Company","Grand Rapids"," MI"
"All Day IPA",1223,0.047,42,16,"American IPA",12,"Founders Brewing Company","Grand Rapids"," MI"
"El Chingon IPA",1874,0.076,73,288,"American IPA",12,"Four Corners Brewing Company","Dallas"," TX"
"The 26th",2611,0.06,69,23,"American IPA",16,"Four Fathers Brewing ","Valparaiso"," IN"
"The Gadget",2610,0.064,90,23,"American IPA",16,"Four Fathers Brewing ","Valparaiso"," IN"
"Hop Knot IPA",358,0.067,47,161,"American IPA",12,"Four Peaks Brewing Company","Tempe"," AZ"
"Batch 69 IPA",1556,0.069,69,254,"American IPA",12,"Frankenmuth Brewery","Frankenmuth"," MI"
"Soul Doubt",2521,0.059,70,67,"American IPA",12,"Freetail Brewing Company","San Antonio"," TX"
"77 Fremont Select Spring Session IPA",1174,0.04,69,461,"American IPA",12,"Fremont Brewing Company","Seattle"," WA"
"Interurban IPA",857,0.065,80,461,"American IPA",12,"Fremont Brewing Company","Seattle"," WA"
"Salamander Slam",2254,0.07,73,181,"American IPA",16,"Frog Level Brewing Company","Waynesville"," NC"
"No Wake IPA",2077,0.072,50,229,"American IPA",12,"Geneva Lake Brewing Company","Lake Geneva"," WI"
"Clean Shave IPA",2426,0.067,70,107,"American IPA",12,"Glabrous Brewing Company","Pineland"," ME"
"2020 IPA",1777,0.074,74,241,"American IPA",16,"Golden Road Brewing","Los Angeles"," CA"
"Wolf Among Weeds IPA",1698,0.08,70,241,"American IPA",16,"Golden Road Brewing","Los Angeles"," CA"
"Better Weather IPA",1641,0.094,92,241,"American IPA",16,"Golden Road Brewing","Los Angeles"," CA"
"Point the Way IPA",1490,0.059,60,241,"American IPA",16,"Golden Road Brewing","Los Angeles"," CA"
"Heal the Bay IPA",1399,0.068,65,241,"American IPA",16,"Golden Road Brewing","Los Angeles"," CA"
"Point the Way IPA",1296,0.059,60,241,"American IPA",12,"Golden Road Brewing","Los Angeles"," CA"
"Burning Bush Smoked IPA",750,0.08,70,241,"American IPA",16,"Golden Road Brewing","Los Angeles"," CA"
"Wolf Among Weeds IPA (2012)",749,0.08,70,241,"American IPA",16,"Golden Road Brewing","Los Angeles"," CA"
"Point the Way IPA (2012)",549,0.059,60,241,"American IPA",16,"Golden Road Brewing","Los Angeles"," CA"
"Descender IPA",1109,0.07,70,465,"American IPA",12,"Good Life Brewing Company","Bend"," OR"
"Good People IPA",309,0.06,64,479,"American IPA",12,"Good People Brewing Company","Birmingham"," AL"
"Goose Island India Pale Ale",2198,0.059,55,197,"American IPA",12,"Goose Island Brewery Company","Chicago"," IL"
"Black Iron India Pale Ale",142,0.063,65,537,"American IPA",12,"Grand Canyon Brewing Company","Williams"," AZ"
"Great Crescent IPA",1701,0.062,60,166,"American IPA",16,"Great Crescent Brewery","Aurora"," IN"
"Great Crescent IPA (2011)",436,0.062,60,166,"American IPA",16,"Great Crescent Brewery","Aurora"," IN"
"Rumble",2647,0.071,69,7,"American IPA",12,"Great Divide Brewing Company","Denver"," CO"
"Lasso",2645,0.05,69,7,"American IPA",12,"Great Divide Brewing Company","Denver"," CO"
"Titan IPA",2642,0.071,69,7,"American IPA",12,"Great Divide Brewing Company","Denver"," CO"
"Big Cock IPA",540,0.07,70,366,"American IPA",16,"Great River Brewery","Davenport"," IA"
"Norm's Raggedy Ass IPA",2139,0.075,69,125,"American IPA",16,"Griffin Claw Brewing Company","Birmingham"," MI"
"Norm's Gateway IPA",2007,0.04,55,125,"American IPA",12,"Griffin Claw Brewing Company","Birmingham"," MI"
"Supergoose IPA",1857,0.069,67,291,"American IPA",12,"Hale's Ales","Seattle"," WA"
"Heyoka IPA",1753,0.07,69,328,"American IPA",16,"Half Acre Beer Company","Chicago"," IL"
"Pursuit",2026,0.07,40,249,"American IPA",12,"Half Full Brewery","Stamford"," CT"
"The Great Return",1677,0.075,70,344,"American IPA",16,"Hardywood Park Craft Brewery","Richmond"," VA"
"Harpoon IPA",1379,0.059,42,235,"American IPA",12,"Harpoon Brewery","Boston"," MA"
"Harpoon IPA (2012)",770,0.059,42,235,"American IPA",12,"Harpoon Brewery","Boston"," MA"
"Harpoon IPA (2010)",126,0.059,42,235,"American IPA",12,"Harpoon Brewery","Boston"," MA"
"Loose Cannon",990,0.072,45,480,"American IPA",12,"Heavy Seas Beer","Halethorpe"," MD"
"Habitus IPA",1346,0.08,86,424,"American IPA",16,"Hess Brewing Company","San Diego"," CA"
"Hop Farm IPA",1833,0.058,45,298,"American IPA",12,"Hop Farm Brewing Company","Pittsburgh"," PA"
"Proxima IPA",1543,0.063,70,199,"American IPA",12,"Hop Valley Brewing Company","Springfield"," OR"
